_id,locationLongitude,locationCountry,merchantCategoryCode,description,type,merchantName,currencyAmount,locationRegion,source,locationCity,originationDateTime,locationPostalCode,customerId,merchantId,locationLatitude,id,locationStreet,accountId,categoryTags
ObjectId("5db4f9d2bf2b03355cd0894d"),-79.3830105191,CA,5251,CDN TIRE STORE #91889,CreditCardTransaction,Canadian Tire,53.36,ON,POS,Toronto,2019-05-08T14:01:00Z,M5G 2C3,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,d9c86d91-3f50-4120-bfcb-cc0dfd0af1b5,43.6556023619,4806f34e-37ace96d-52c3-48fa-b671-ffdefe042175,65 Dundas St W,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Home"]"
ObjectId("5db4f9d2bf2b03355cd0895b"),-79.3840353784,CA,5411,METRO #928,CreditCardTransaction,Metro,69.44,ON,POS,Toronto,2019-06-26T11:54:00Z,M5B 2H4,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,a6053948-ed89-496b-9a93-4cd705906e50,43.6606164951,4806f34e-417a5722-5a3a-403a-997f-26da8bc2fc6f,444 Yonge St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd0895f"),-79.377923307,CA,5812,THE KEG STEAKHOUSE 997,CreditCardTransaction,The Keg Steakhouse + Bar,116.94,ON,POS,Toronto,2019-07-20T14:02:00Z,M4Y 2H7,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,90f5c19d-c06b-43a3-a68d-cb97bd11c5de,43.6668352926,4806f34e-4478b866-ddc6-45b2-8746-5b12317a3ca5,515 Jarvis St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd08986"),,,6012,XZ833 TFR-TO C/C,DepositAccountTransaction,,871.30,,,,2019-06-01T00:00:00.001Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,852223a6-f227-4e4c-818e-36bb880866f2,,4806f34e-623ad429-f76e-4f0e-9a29-45e9d07e0913,,bc176c5f-c6a0-4e56-b9e0-efd9158a8412,"["Transfer"]"
ObjectId("5db4f9d2bf2b03355cd0898c"),-79.387559755,CA,5251,CDN TIRE STORE #88188,CreditCardTransaction,Canadian Tire,52.74,ON,POS,Toronto,2019-09-11T07:19:00Z,M4W 2H2,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,f0184714-e324-449c-8264-d35026bba568,43.673138836,4806f34e-6636f605-dd43-43bb-8aaa-efdebb33eaf1,835 Yonge St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Home"]"
ObjectId("5db4f9d2bf2b03355cd0898e"),-79.380033004,CA,5921,LCBO #614,CreditCardTransaction,LCBO,33.89,ON,POS,Toronto,2019-06-12T14:42:00Z,M5B 2H5,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,71a5bfa6-a09b-4bc0-8a1f-89560c3710b5,43.662060941,4806f34e-6bda56d8-dc13-437f-b014-c284c56436c4,60 Carlton St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d2bf2b03355cd08999"),,,4899,NETFLIX,CreditCardTransaction,Netflix,10.02,,EFT,,2019-08-03T00:00:00.001Z,,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,fc63968c-c5c9-453b-965f-0254a4bcd68b,,4806f34e-75c1e38e-ba9e-42d9-9d1c-10cfdde95b7c,,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Bills and Utilities"]"
ObjectId("5db4f9d2bf2b03355cd089b6"),-79.390976944,CA,7832,CINEPLEX 2590,CreditCardTransaction,Cineplex,67.29,ON,POS,Toronto,2019-09-15T11:51:00Z,M5V 3M6,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,5dee62a9-0a0d-4d67-80d1-aca9bf8e2027,43.648883105,4806f34e-88fdbc98-8e1e-46e9-9e5f-15fa9b1f7a39,259 Richmond St W,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Entertainment"]"
ObjectId("5db4f9d2bf2b03355cd089ef"),-79.3727013513,CA,5541,PETROCAN #85778,CreditCardTransaction,Petro-Canada,35.41,ON,POS,Toronto,2019-04-27T18:25:00Z,M5C 2H6,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,6a4c5e5e-0b9b-4c85-ac78-9d312d4d2f60,43.6530887451,4806f34e-b245629d-1a7f-4184-91da-0e587b0f9012,117 Jarvis St,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Auto and Transport"]"
ObjectId("5db4f9d2bf2b03355cd08a47"),-79.3886879635,CA,7832,CINEPLEX 4898,CreditCardTransaction,Cineplex,67.67,ON,POS,Toronto,2019-07-21T19:23:00Z,M4W 1A5,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,241908ff-2cd2-45c0-ab92-b81be357d5ac,43.6696411702,4806f34e-ebb52d00-76b9-4134-8341-3aa5dbb09fd7,55 Bloor St W,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Entertainment"]"
ObjectId("5db4f9d2bf2b03355cd08a63"),-79.3854414271,CA,5921,LCBO #512,CreditCardTransaction,LCBO,32.41,ON,POS,Toronto,2019-10-12T10:29:00Z,M4W 3G7,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,f32bf4e6-3e16-40df-b316-ff7e8a0d41a5,43.6707617399,4806f34e-fa722e06-13db-47c8-aa47-31ffa5bd563d,20 Bloor St E,7e47eac9-4554-4458-b979-16966c9f1dc2,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a70"),-79.3129494422,CA,5814,TIM HORTONS #899 _F,CreditCardTransaction,Tim Hortons,4.56,ON,POS,Scarborough,2019-08-08T12:54:00Z,M1R 4B7,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,e827413f-bd42-4ecb-879b-8dd357013574,43.7579405945,90f54a9f-02eaefa6-8dc3-4988-9a49-a5156312000c,75 Ellesmere Rd,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a73"),-79.3444982153,CA,7523,TORONTO PARKING AUTHORITY,CreditCardTransaction,Toronto Parking Authority,11.32,ON,POS,North York,2019-04-10T12:07:00Z,,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,9164f90b-c1e3-41ef-9a1b-bd2fbfd6fc1c,43.7777482543,90f54a9f-04695a58-3da6-4f10-981d-34843c9c9eb1,1800 Sheppard Ave E,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Shopping"]"
ObjectId("5db4f9d3bf2b03355cd08a74"),-79.2740586605,CA,7523,TORONTO PARKING AUTHORITY,CreditCardTransaction,Toronto Parking Authority,9.83,ON,POS,Scarborough,2019-09-06T09:07:00Z,,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,b58457d9-14db-453f-9850-74b42cb1789f,43.768257733,90f54a9f-06122654-8285-418b-945f-866d5018ff9d,1050 Ellesmere Rd,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Shopping"]"
ObjectId("5db4f9d3bf2b03355cd08a76"),-79.3462588972,CA,5921,LCBO #320,CreditCardTransaction,LCBO,32.17,ON,POS,East York,2019-07-12T11:22:00Z,M4H 1C3,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,3de19e32-31dc-41e2-92e3-93e368bea3e8,43.7055467108,90f54a9f-071d29e3-c3b6-4b38-984d-305b14e133b0,45 Overlea Blvd,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a7a"),-79.3211427399,CA,5814,STARBUCKS #4804,CreditCardTransaction,Starbucks,4.38,ON,POS,Scarborough,2019-06-27T09:18:00Z,M1T 1A3,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,0f8ce484-498d-4420-8df3-3db26444c9b1,43.7729844015,90f54a9f-0a7501cc-b3c8-40eb-833c-40d04ca47144,2555 Victoria Park Ave,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a7b"),-79.3148364995,CA,5541,PETROCAN #89808,CreditCardTransaction,Petro-Canada,32.92,ON,POS,Scarborough,2019-09-09T16:12:00Z,M1R 4C1,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,87ec543d-3052-4cac-b017-abec9ecec707,43.7584370634,90f54a9f-0a831a2a-00b6-4e72-a47b-b92d7426cfb8,20 Ellesmere Rd,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Auto and Transport"]"
ObjectId("5db4f9d3bf2b03355cd08a7c"),,,4900,TOR UTILITY Y3EA8L,DepositAccountTransaction,Toronto Utility,261.12,,,,2019-04-30T00:00:00.001Z,,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,0403a261-0597-4e79-978a-91aec36ba5fd,,90f54a9f-0b02172a-270a-4276-aacb-4cc3755029c8,,baa46e44-4972-4a93-b326-6e528965d6db,"["Bills and Utilities"]"
ObjectId("5db4f9d3bf2b03355cd08a81"),-79.3209681797,CA,5814,WENDY'S #1988,CreditCardTransaction,Wendy's,4.28,ON,POS,Scarborough,2019-05-18T17:12:00Z,M1T 1A1,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,c2361baa-d705-4f6e-8542-d733284a6bf6,43.7718509751,90f54a9f-108cf11f-4b70-4736-9d75-e3a96870b945,2501 Victoria Park Ave,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a82"),-79.300038971,CA,7523,TORONTO PARKING AUTHORITY,CreditCardTransaction,Toronto Parking Authority,10.59,ON,POS,Scarborough,2019-07-31T18:59:00Z,,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,cca8380d-0440-430a-a364-2c38a9c67581,43.744680166,90f54a9f-1109533b-a034-4753-b9d2-1e6d7b957f51,1940 Lawrence Ave E,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Shopping"]"
ObjectId("5db4f9d3bf2b03355cd08a84"),-79.3287384607,CA,5921,LCBO #485,CreditCardTransaction,LCBO,32.97,ON,POS,East York,2019-06-12T19:57:00Z,M4C 3G4,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,7fa2a61d-823b-49fe-a08b-51dea67dd391,43.6969066937,90f54a9f-11b7fb98-800a-4824-9ff8-800be50c8500,1009 Coxwell Ave,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a88"),,,4816,BELL CANADA U9Y8N2,DepositAccountTransaction,Bell Canada,105.09,,,,2019-07-11T00:00:00.001Z,,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,338b9026-ebdd-4f32-8e01-4a46572b0d65,,90f54a9f-145876ef-14b5-4d9d-9327-c7181653e4e3,,baa46e44-4972-4a93-b326-6e528965d6db,"["Bills and Utilities"]"
ObjectId("5db4f9d3bf2b03355cd08a89"),-79.3719792973,CA,5251,CDN TIRE STORE #98211,CreditCardTransaction,Canadian Tire,52.18,ON,POS,North York,2019-10-04T09:23:00Z,M2K 1C2,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,43204ee6-4b8c-445d-b9a5-19ac482d8e5e,43.7697656614,90f54a9f-148114be-9dfb-445f-b049-1605afdd58d5,1019 Sheppard Ave E,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Home"]"
ObjectId("5db4f9d3bf2b03355cd08a8a"),-79.4534143898,CA,5945,MICHAELS #8959,CreditCardTransaction,Michaels Canada,146.56,ON,POS,North York,2019-08-03T10:51:00Z,M3K 2C8,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,7a5306fe-2f24-401b-aaf3-df83e1c835ec,43.7327608587,90f54a9f-148df166-f817-459c-ad63-9fbbf53bbd56,30 Billy Bishop Way,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Shopping","Kids"]"
ObjectId("5db4f9d3bf2b03355cd08a8f"),,,9311,TORONTO TAX  Z93ZP9,DepositAccountTransaction,Toronto Detached Property Tax,1218.22,,,,2019-04-02T00:00:00.001Z,,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,d9dfeb8a-afcb-4c4a-aad1-7efd43fe9c4d,,90f54a9f-17e203cc-d920-4fc6-b0ac-7021275f14f2,,baa46e44-4972-4a93-b326-6e528965d6db,"["Taxes"]"
ObjectId("5db4f9d3bf2b03355cd08a96"),-79.3437491547,CA,5411,METRO #989,CreditCardTransaction,Metro,51.34,ON,POS,North York,2019-06-22T13:03:00Z,M3C 1W6,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,077bc9ff-6ea1-4e86-a92f-5fd0f69c549d,43.7338984436,90f54a9f-1ce0b6da-8b43-4d53-aba3-4135675cce3f,1050 Don Mills Rd,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a9a"),-79.3578541522,CA,5411,LONGO'S #69,CreditCardTransaction,Longo's,56.43,ON,POS,North York,2019-07-27T14:59:00Z,M3B 1X7,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,99b93d55-1e5f-4c4b-89e9-e5efd2ba2b9a,43.7536411183,90f54a9f-21859890-e9b7-4ce7-8ef9-2dee6b6fef9f,808 York Mills Rd,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08a9c"),-79.3238412664,CA,5541,PETROCAN #89979,CreditCardTransaction,Petro-Canada,34.27,ON,POS,North York,2019-04-29T15:28:00Z,M2J 1X1,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,32f72692-3811-4f12-a0c8-15dbcec246ee,43.775524783,90f54a9f-222a9b22-485a-4119-b624-9af2b10e6e92,2500 Sheppard Ave E,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Auto and Transport"]"
ObjectId("5db4f9d3bf2b03355cd08a9f"),-79.3180650279,CA,5541,PETROCAN #79878,CreditCardTransaction,Petro-Canada,36.73,ON,POS,North York,2019-06-10T17:49:00Z,M1R 1V9,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,bb69df42-f10f-4411-8aa4-8819a343c5b3,43.7632899383,90f54a9f-24687289-1a3c-4b25-ade3-9baf6c8daf59,2250 Victoria Park Ave,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Auto and Transport"]"
ObjectId("5db4f9d3bf2b03355cd08aa3"),-79.3211427399,CA,5812,SWISS CHALET 9822,CreditCardTransaction,Swiss Chalet,105.76,ON,POS,Scarborough,2019-05-12T08:55:00Z,M1T 1A3,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,e5587926-2afe-4062-a8bb-5914d36de643,43.7729844015,90f54a9f-270d088f-e5a8-4123-8f44-fd795b0054b3,2555 Victoria Park Ave,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08aa8"),-79.2922526784,CA,5411,WAL-MART SUPERSTORE#1949,CreditCardTransaction,Walmart,47.48,ON,POS,Scarborough,2019-04-20T10:51:00Z,,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,f515b8ed-bd52-4a3b-97cd-abb5b2e4f2f9,43.7839385262,90f54a9f-2bdda640-789d-47fe-bd90-fa18641645ed,3850 Sheppard Ave E,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08aaf"),-79.3444982153,CA,5651,H&M CA #905 - TORONTO,CreditCardTransaction,H&M,107.62,ON,POS,North York,2019-07-11T12:29:00Z,M2J 5A7,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,bf33aa7e-a606-4031-93f6-0915b1b4bdd7,43.7777482543,90f54a9f-306edd7a-6a14-499a-a429-b54047aaa5f7,1800 Sheppard Ave E,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Shopping"]"
ObjectId("5db4f9d3bf2b03355cd08abe"),-79.3611073346,CA,5812,THE KEG STEAKHOUSE 089,CreditCardTransaction,The Keg Steakhouse + Bar,115.48,ON,POS,North York,2019-08-04T17:25:00Z,M3B 2M3,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,d1dcc0d7-a7bc-44a4-a488-50b78f98e648,43.7594459634,90f54a9f-37c8dbaf-4bb1-4d85-a24f-e8ca590477d1,1977-2001 Leslie St,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Food and Dining"]"
ObjectId("5db4f9d3bf2b03355cd08ad5"),-79.280288211,CA,5945,MICHAELS #5919,CreditCardTransaction,Michaels Canada,144.70,ON,POS,Scarborough,2019-10-05T09:57:00Z,M1P 5B7,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,1ed9d187-30c1-4710-a7a5-09b300680e3f,43.772748392,90f54a9f-4739a216-825d-4aa0-977d-a8bfed03f3b3,11 William Kitchen Rd,41b3e4a5-fe20-4271-9c2d-ca6845f2b234,"["Shopping","Kids"]"
